date,session_id,session_title,participant_name,role,character_name,character_sheet_url,character_sheet_id
2026-01-02,271,静なるテロリスタ【HO童子】個別導入,admin,gm,,,
2026-01-02,271,静なるテロリスタ【HO童子】個別導入,ひめ,player,,,
2026-01-03,270,同じ空には昇れない【第三陣】,admin,gm,,,
2026-01-03,270,同じ空には昇れない【第三陣】,しぇぱ,player,,,
2026-01-03,270,同じ空には昇れない【第三陣】,じぇら,player,,,
2026-01-07,269,静なるテロリスタ【HO 異邦人】個別導入,admin,gm,,,
2026-01-07,269,静なるテロリスタ【HO 異邦人】個別導入,伊藤,player,,,
2026-01-12,268,静なるテロリスタ,admin,gm,,,
2026-01-12,268,静なるテロリスタ,シララ,player,,,
2026-01-12,268,静なるテロリスタ,メイサイ,player,メイサイ,,
2026-01-12,267,静なるテロリスタ【HO 篤学者】導入,admin,gm,,,
2026-01-12,267,静なるテロリスタ【HO 篤学者】導入,シララ,player,シララ,,
2026-01-17,266,グレイブレコード,admin,gm,,,
2026-01-17,266,グレイブレコード,ぬけ,player,ぬけ(現代編) / ぬけ(王国編),,
2026-01-17,266,グレイブレコード,伊藤,player,伊藤(現代編) / 伊藤(王国編),,
2026-01-18,265,グレイブレコード,admin,gm,,,
2026-01-18,265,グレイブレコード,じぇら,player,じぇら(現代編) / じぇら(王国編),,
2026-01-18,265,グレイブレコード,ヤギ,player,やぎ(現代編) / やぎ(王国編),,
2026-01-28,264,狂気山脈　第一登山隊,admin,gm,,,
2026-01-28,264,狂気山脈　第一登山隊,シララ,player,シララ,,
2026-01-28,264,狂気山脈　第一登山隊,メイサイ,player,メイサイ,,
2026-01-28,264,狂気山脈　第一登山隊,伊藤,player,伊藤,,
2026-02-18,263,静なるテロリスタ≪本編≫,admin,gm,,,
2026-02-18,263,静なるテロリスタ≪本編≫,ひめちゃん,player,ひめちゃん,,
2026-02-18,263,静なるテロリスタ≪本編≫,シララ,player,シララ,,
2026-02-18,263,静なるテロリスタ≪本編≫,メイサイ,player,メイサイ,,
2026-02-18,263,静なるテロリスタ≪本編≫,伊藤,player,伊藤,,
2026-03-07,262,静なるテロリスタ【HO 篤学者】導入,admin,gm,,,
2026-03-07,262,静なるテロリスタ【HO 篤学者】導入,しぇぱ,player,,,
2026-03-08,261,モーンガーターの魔法使い,admin,gm,,,
2026-03-08,261,モーンガーターの魔法使い,しぇぱ,player,しぇぱ,,
2026-03-08,261,モーンガーターの魔法使い,ヤギ,player,やぎ,,
2026-03-09,260,未設定セッション 2026-03-09 row37,admin,gm,,,
2026-03-09,260,未設定セッション 2026-03-09 row37,ひめちゃん,player,,,
2026-03-09,260,未設定セッション 2026-03-09 row37,伊藤,player,,,
2026-03-11,259,犬猫戦争は終わらせない,admin,gm,,,
2026-03-11,259,犬猫戦争は終わらせない,設定なし,player,,,
2026-03-14,258,モーンガータの魔法使い《前半》,admin,gm,,,
2026-03-14,258,モーンガータの魔法使い《前半》,ぬけ,player,ぬけ,,
2026-03-14,258,モーンガータの魔法使い《前半》,ひめちゃん,player,ひめちゃん,,
2026-03-15,257,モーンガータの魔法使い《後半》,admin,gm,,,
2026-03-15,257,モーンガータの魔法使い《後半》,ぬけ,player,ぬけ,,
2026-03-15,257,モーンガータの魔法使い《後半》,ひめちゃん,player,ひめちゃん,,
2026-03-17,256,静なるテロリスタ【HO 美術家】導入,admin,gm,,,
2026-03-17,256,静なるテロリスタ【HO 美術家】導入,九段,player,,,
2026-03-21,255,モーンガータの魔法使い,admin,gm,,,
2026-03-21,255,モーンガータの魔法使い,しぇぱ,player,しぇぱ,,
2026-03-21,255,モーンガータの魔法使い,ヤギ,player,やぎ,,
2026-03-22,254,静なるテロリスタ【HO 童子】導入,admin,gm,,,
2026-03-22,254,静なるテロリスタ【HO 童子】導入,ヤギ,player,,,
2026-03-27,253,"静なるテロリスタ【HO 異邦人】導入
※冒頭録画ミス※ゴメンナサイ",admin,gm,,,
2026-03-27,253,"静なるテロリスタ【HO 異邦人】導入
※冒頭録画ミス※ゴメンナサイ",ぬけ,player,,,
2026-04-01,252,モーンガータの魔法使い,admin,gm,,,
2026-04-01,252,モーンガータの魔法使い,シララ,player,シララ,,
2026-04-01,252,モーンガータの魔法使い,伊藤,player,伊藤,,
2026-04-04,251,モーンガータの魔法使い,admin,gm,,,
2026-04-04,251,モーンガータの魔法使い,ぐん,player,ぐん,,
2026-04-04,251,モーンガータの魔法使い,ナエカ,player,ナエカ,,
2026-04-11,250,未設定セッション 2026-04-11 row27,admin,gm,,,
2026-04-11,250,未設定セッション 2026-04-11 row27,じぇら,player,,,
2026-04-11,250,未設定セッション 2026-04-11 row27,ヤギ,player,,,
2026-04-12,249,静なるテロリスタ≪本編≫,admin,gm,,,
2026-04-12,249,静なるテロリスタ≪本編≫,しぇぱ,player,,,
2026-04-12,249,静なるテロリスタ≪本編≫,ぬけ,player,,,
2026-04-12,249,静なるテロリスタ≪本編≫,ヤギ,player,,,
2026-04-12,249,静なるテロリスタ≪本編≫,九段,player,,,
2026-04-15,248,モーンガータの魔法使い,admin,gm,,,
2026-04-15,248,モーンガータの魔法使い,シララ,player,シララ,,
2026-04-15,248,モーンガータの魔法使い,伊藤,player,伊藤,,
2026-04-19,247,モーンガータの魔法使い,admin,gm,,,
2026-04-19,247,モーンガータの魔法使い,じぇら,player,じぇら,,
2026-04-19,247,モーンガータの魔法使い,九段,player,九段,,
2026-04-25,246,モーンガータの魔法使い,admin,gm,,,
2026-04-25,246,モーンガータの魔法使い,設定なし,player,,,
2026-04-26,245,モーンガータの魔法使い,admin,gm,,,
2026-04-26,245,モーンガータの魔法使い,じぇら,player,じぇら,,
2026-04-26,245,モーンガータの魔法使い,九段,player,九段,,
2026-05-01,244,復元シマスカ？,admin,gm,,,
2026-05-01,244,復元シマスカ？,シララ,player,シララ,,
2026-05-01,244,復元シマスカ？,伊藤,player,伊藤,,
2026-05-01,244,復元シマスカ？,村松,player,村松,,
2026-05-02,243,Risoluto・Duo,admin,gm,,,
2026-05-02,243,Risoluto・Duo,メイサイ,player,メイサイ,,
2026-05-02,243,Risoluto・Duo,ヤギ,player,ヤギ,,
2026-05-04,242,怪祓-カイブツ-,admin,gm,,,
2026-05-04,242,怪祓-カイブツ-,メイサイ,player,メイサイ,,
2026-05-04,242,怪祓-カイブツ-,伊藤,player,伊藤,,
2026-05-05,241,怪祓-カイブツ-,admin,gm,,,
2026-05-05,241,怪祓-カイブツ-,メイサイ,player,メイサイ,,
2026-05-05,241,怪祓-カイブツ-,伊藤,player,伊藤,,
2026-05-25,238,ホームシック,admin,gm,,,
2026-05-25,238,ホームシック,メイサイ,player,メイサイ,,
2026-05-25,240,未設定セッション 2026-05-25 row13,admin,gm,,,
2026-05-25,240,未設定セッション 2026-05-25 row13,メイサイ,player,,,
2026-05-25,239,"獣人ガストロノミー 事前導入HO1,2",admin,gm,,,
2026-05-25,239,"獣人ガストロノミー 事前導入HO1,2",しぇぱ,player,,,
2026-05-25,239,"獣人ガストロノミー 事前導入HO1,2",ひめちゃん,player,,,
2026-05-30,236,獣人ガストロノミー,admin,gm,,,
2026-05-30,236,獣人ガストロノミー,しぇぱ,player,しぇぱ,,
2026-05-30,236,獣人ガストロノミー,ひめちゃん,player,ひめちゃん,,
2026-05-30,236,獣人ガストロノミー,メイサイ,player,メイサイ,,
2026-05-30,236,獣人ガストロノミー,伊藤,player,伊藤,,
2026-05-30,237,獣人ガストロノミー 事前導入HO3.4,admin,gm,,,
2026-05-30,237,獣人ガストロノミー 事前導入HO3.4,メイサイ,player,メイサイ,,
2026-05-30,237,獣人ガストロノミー 事前導入HO3.4,伊藤,player,伊藤,,
2026-05-31,235,獣人ガストロノミー,admin,gm,,,
2026-05-31,235,獣人ガストロノミー,しぇぱ,player,しぇぱ,,
2026-05-31,235,獣人ガストロノミー,ひめちゃん,player,ひめちゃん,,
2026-05-31,235,獣人ガストロノミー,メイサイ,player,メイサイ,,
2026-05-31,235,獣人ガストロノミー,伊藤,player,伊藤,,
2026-06-02,234,怪祓-カイブツ-,admin,gm,,,
2026-06-02,234,怪祓-カイブツ-,メイサイ,player,メイサイ,,
2026-06-02,234,怪祓-カイブツ-,伊藤,player,伊藤,,
2026-06-06,233,モーンガータの魔法使い,admin,gm,,,
2026-06-06,233,モーンガータの魔法使い,ぐん,player,ぐん,,
2026-06-06,233,モーンガータの魔法使い,ナエカ,player,ナエカ,,
